id,set_name,set_code,num_of_cards,tcg_date
efb8f2450d9faf607df5caa1b4d3abcf,Premium Gold: Return of the Bling,PGL2,91,2015-03-19
fb006ecb0742b4ec5e6f1b2ba98cb246,Demo Deck 2015,DEM2,20,2015-03-30
ef45e8598d36df9cc3a8ae03904f10d0,World Superstars,WSUP,50,2015-04-16
7ca032fc7948ac7295699cfb1ce5e741,Weekly Shonen Jump April 2015 membership promotional card,JUMP,1,2015-05-07
520b7d1db24d005404d4d72af098f650,Crossed Souls Sneak Peek Participation Card,CROS,1,2015-05-09
22e43c6247690300afe191ade90adab0,Crossed Souls,CROS,100,2015-05-14
5a701245b4f90fecdf5d4875989c2888,2-Player Starter Deck: Yuya & Declan,YS15,42,2015-05-28
9b84a3ded2f08df1cf9d58fda862a838,Dark Legion Starter Deck,YS15,29,2015-05-29
7648f87297eb45982bdc930168f1a148,Saber Force Starter Deck,YS15,28,2015-05-29
0066143555bb13b5699eb5635a28d6a5,Astral Pack Seven,AP07,27,2015-06-04
ef8b913d5f49de0798a5c8b77617faee,Star Pack ARC-V,SP15,50,2015-06-12
03e90883b2113627cd020c51bb3710d2,Duelist Pack: Battle City,DPBC,47,2015-06-19
932209f684fe58a800a204e4de97544c,Weekly Shonen Jump July 2015 membership promotional card,JUMP,1,2015-07-01
7351cc1a3e1e1554df288a9d284495a5,Crossed Souls: Advance Edition,CROS,4,2015-07-02
b614bbe67e9d35ad0888f7c5c0e5378d,Dragons of Legend 2,DRL2,45,2015-07-16
902b62f118749f50f150ae8e54d850d3,Clash of Rebellions Sneak Peek Participation Card,CORE,1,2015-08-01
f10dffa4416a0f1c70f21e1f1d338cdb,Clash of Rebellions,CORE,100,2015-08-06
468ef2a7f53539fd26bccf9140f8725e,Synchron Extreme Structure Deck,SDSE,43,2015-08-27
65428435a2702e31b7e6aae1313e135c,Yu-Gi-Oh! Championship Series 2015 Prize Card,YCSW,1,2015-08-30
938e1e6abfecfd3a161fe0d73aaa4bc2,Yu-Gi-Oh! ZEXAL Volume 7 promotional card,YZ07,1,2015-09-01
ebcf2adcd9679d0dcc72352f53d09dc6,2015 Mega-Tin Mega Pack,MP15,247,2015-09-17
f6ad813d29f36b489e8b55831f2d7800,2015 Mega-Tins,CT12,6,2015-09-17
4d88fdebf2f47b191a0eff8ae615dd02,High-Speed Riders,HSRD,60,2015-10-01
c010ace8d732581f0e2e12dfad69898f,Yu-Gi-Oh! 5D's volume 8 promotional card,YF08,1,2015-10-06
10c7342df4eade79f3cc18261df8ebfa,Weekly Shonen Jump October 2015 membership promotional card,JUMP,1,2015-10-07
12433be5a61ee9cbe5a176a04aa80687,Astral Pack Eight,AP08,27,2015-10-23
eb63da9a6f9c742d9789b083ddbe1052,Dimension of Chaos Sneak Peek Participation Card,DOCS,1,2015-10-31
38ea89b43162d02e2ed859ce622dab09,Dimension of Chaos,DOCS,100,2015-11-05
b6a053e6532fd01877970f36bf03a6d1,Yugi's Legendary Decks,YGLD,126,2015-11-12
f53b0bef638f185a6f64acee0a5f5355,Master of Pendulum Structure Deck,SDMP,43,2015-12-03
92ba5ef6b6e74de1ab12f8ba98f436f0,Dimension of Chaos: Special Edition,DOCS,4,2015-12-10
92ed29cc1e38661ced69a7a0f102f6d4,Clash of Rebellions: Special Edition,CORE,4,2015-12-11
7ed3ca17039b351a51cc0afaa90b17b3,Breakers of Shadow Sneak Peek Participation Card,BOSH,1,2016-01-09
a1c14cc8da23f716d0e8e532bfb6c455,Breakers of Shadow,BOSH,100,2016-01-14
db66bf2bb0c1af83a025725e795337f7,Demo Deck 2016,DEM3,20,2016-01-14
ffadfa224feba5632c583b9931e2e3a3,Weekly Shonen Jump January 2016 membership promotional card,JUMP,1,2016-01-18
00e329416fdfe2945d3449ec817d2819,Emperor of Darkness Structure Deck,SR01,41,2016-01-28
2e1effa52729b5703858e768e79c6f31,WSJ Jump Pack Spring 2016 promotional card,JMPS,1,2016-02-01
e9bdcd10bdbbf1f92b271e3c3f041d39,Wing Raiders,WIRA,60,2016-02-11
e84434db32ac750e4ec7061db330fda4,Breakers of Shadow: Special Edition,BOSH,4,2016-02-25
9a87c3ea79a4a9443849c3affc10173f,Yu-Gi-Oh! ZEXAL Volume 8 promotional card,YZ08,1,2016-03-01
1eb2553b45fe4c9104bcf82a1345d2f9,Premium Gold: Infinite Gold,PGL3,100,2016-03-17
8a08763269a34ce6ba948a21a9bb5ed1,OTS Tournament Pack 1,OP01,27,2016-03-18
26877d3bdd271cf88092c9226c9f591e,Yu-Gi-Oh! 5D's Volume 9 promotional card,YF09,1,2016-04-05
296b0c0bf41fe8b167baac3f8aba595d,Millennium Pack,MIL1,48,2016-04-14
9356a3a81fdf7236b5228106848eff0f,Weekly Shonen Jump April 2016 membership promotional card,JUMP,1,2016-04-20
31342fe95a9c0fe6620924d96d30a17f,Shining Victories Sneak Peek Participation Card,SHVI,1,2016-04-30
b3c2e796543ba88d7aca52cda11c06c4,Shining Victories,SHVI,100,2016-05-05
1e9c0cba8cd6ed4709551d0cd8a12023,Starter Deck: Yuya,YS16,43,2016-05-26
a8ca2b9e05d0f3dec8b856ae4e3daf68,Shining Victories: Special Edition,SHVI,4,2016-06-16
7881f1b2b583189d5d1f7fb2d9f011c7,WSJ Jump Pack Fall 2016 promotional card,JMPS,1,2016-07-01
44cc7322e1fd4868b9299f469f211872,Weekly Shonen Jump July 2016 membership promotional card,JUMP,1,2016-07-04
2ed70f31b2e82f37592e7aa92e7c436f,Rise of the True Dragons Structure Deck,SR02,41,2016-07-07
e7d2e721e181f2c63cb16ab9bd6aa527,OTS Tournament Pack 2,OP02,27,2016-07-15
c3eed2909422a0f9798ecbca18175334,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,MVP1,57,2016-07-21
2b6b35af5339d24f268e045da94a821b,The Dark Illusion Sneak Peek Participation Card,TDIL,1,2016-07-30
9df7fe0fb64973a123428222f7a766f1,The Dark Illusion,TDIL,100,2016-08-04
210221ec4af0d99226b267c3802acf11,Dragons of Legend: Unleashed,DRL3,73,2016-08-18
b0ea09c12636ec8ffd4e8f61b1f93483,Yu-Gi-Oh! Championship Series 2016 Prize Card,YCSW,1,2016-08-28
3bbff0e4b3edb9f6363fb5af6bde2021,2016 Mega-Tin Mega Pack,MP16,239,2016-09-01
341449569547979215962bcfe5c84a21,2016 Mega-Tins,CT13,12,2016-09-01
8a1a7a01babbe09114a7942ffc19b135,Yu-Gi-Oh! ZEXAL Volume 9 promotional card,YZ09,1,2016-09-06
ace9d41afbfc03402c03df6917a946f0,Duelist Pack: Rivals of the Pharaoh,DPRP,46,2016-09-15
d3cd92af8c76d25cf1de2a16bdf720da,The Dark Illusion: Special Edition,TDIL,4,2016-09-15
dc9e9b7ce61fd372e15eb79faac0a51e,Legendary Decks II,LDK2,130,2016-10-06
26cede40f5104d243458ee86a168c36a,Weekly Shonen Jump October 2016 membership promotional card,JUMP,1,2016-10-06
39c026341eede69f80493444a970db4d,Structure Deck: Seto Kaiba,SDKS,44,2016-10-20
c1158a516dc67cd764c23d402a5aadcf,Structure Deck: Yugi Muto,SDMY,45,2016-10-20
208339d290cc676953fa9d2e5a1eb94b,Invasion: Vengeance Sneak Peek Participation Card,INOV,1,2016-10-29
7ee33bb4fad97bf17b3e5404bdaa6eab,Invasion: Vengeance,INOV,100,2016-11-03
d32a9db5bc8f1e0e8e18a5ad0c236439,Destiny Soldiers,DESO,60,2016-11-17
a45aeb55843ddcb4c659cec9a03c8489,OTS Tournament Pack 3,OP03,27,2016-11-17
d08f441119934aa01ba2245ba789c0b3,Invasion: Vengeance: Special Edition,INOV,4,2016-12-08
6289ea44a86fcc783c787366fc3a0faf,WSJ Jump Pack Spring 2017 promotional card,JMPS,1,2017-01-01
11939da23eef6870962c5be84361d6fd,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,MVP1,61,2017-01-12
d65929fa5109d40b6858d8b2634f0324,Weekly Shonen Jump January 2017 membership promotional card,JUMP,1,2017-01-16
1c776a73d9ffc801d13065227a2e7eac,Pendulum Domination Structure Deck,SDPD,43,2017-01-19
eec5767b77b3f8ac8ad9c6e3d7d62d48,Yu-Gi-Oh! The Dark Side of Dimensions Theater distribution cards,MVPC,1,2017-01-27
179081cb4590362c0dcc74f74bf8e078,Raging Tempest Sneak Peek Participation Card,RATE,1,2017-02-04
2280df8b0216253b8059876bc8745f43,Raging Tempest,RATE,100,2017-02-09
c298ec426e621c56055f9eabc7c3a0ef,Fusion Enforcers,FUEN,60,2017-02-23
7c09e2d8bcce0a806acb034e1cb085ff,Star Pack Battle Royal,SP17,50,2017-03-09
689a141951e2dfc65c7ef037838bb0e4,Raging Tempest: Special Edition,RATE,4,2017-03-16
96b30f7b59ec2e0fb430c0ce1354f00f,Duelist Saga,DUSA,100,2017-03-30
93ff9e4c11467bd37f98cba0591d389d,Weekly Shonen Jump April 2017 membership promotional card,JUMP,1,2017-04-01
e8ae1c2ab8633c999388d40fa76ee958,Yu-Gi-Oh! ARC-V Volume 1 promotional card,YA01,1,2017-04-04
486742dbab8e355e93924b17aceac8ad,OTS Tournament Pack 4,OP04,27,2017-04-06
15a6196140765e09ae0636f48a47f558,Dinosmasher's Fury Structure Deck,SR04,39,2017-04-13
2984551a0ea16439e1b2784b49abbe92,Machine Reactor Structure Deck,SR03,40,2017-04-13
73d130cadd6b87355bea6b00420df22e,Maximum Crisis Sneak Peek Participation Card,MACR,1,2017-04-29
ebc400e21e238014d979aaf26917d906,Maximum Crisis,MACR,100,2017-05-04
5d0ab56d0e9df0ad8025957b1624b856,Duelist Pack: Dimensional Guardians,DPDG,45,2017-05-25
20d260d9e022402fab1f82f83d0b9ece,Yu-Gi-Oh! The Dark Side of Dimensions Blu-ray & DVD promotional card,MVPC,1,2017-05-29
d6c45795ef083da6d8640b57e8d8b4ee,Maximum Crisis: Special Edition,MACR,4,2017-06-08
b8e0e89213ecc4c89954407b2bf65626,Pendulum Evolution,PEVO,60,2017-06-22
4b9c45d6d021e9f8d0352c753e21e1b2,Weekly Shonen Jump July 2017 membership promotional card,JUMP,1,2017-06-30
7500066f4df5195ce467d97db1b62d8d,Battles of Legend: Light's Revenge,BLLR,80,2017-07-06
e4aa6e136588139b52b7e9cf66ad1ac0,Starter Deck: Link Strike,YS17,43,2017-07-20
3482cf6bce22c3433fa9eac0d39ec3a1,Code of the Duelist Sneak Peek Participation Card,COTD,1,2017-07-29
1615ae29d9e2b62eb36e5e3110780271,WSJ Jump Pack Fall 2017 promotional card,JMPS,1,2017-08-01
ead941910d54f03db9be48bc41a94357,Code of the Duelist,COTD,100,2017-08-03
535e6f53c73168be08bc6027642ceb1c,OTS Tournament Pack 5,OP05,27,2017-08-03
8eb385512ccc41dd766185b9f05ba62a,Yu-Gi-Oh! World Championship 2017 prize cards,2017,2,2017-08-13
c6f3e50089b17275c8462f40263e585d,2017 Mega-Tin Mega Pack,MP17,239,2017-08-24
77b9d1dea49908d9f69cce68eaf81f02,2017 Mega-Tins,CT14,8,2017-08-24
0aa2a4e91611d54d3f3f43d8cdedab0e,Yu-Gi-Oh! Championship Series 2017 prize card,YCSW,1,2017-08-27
